Teams,Game,Season,Win,S,1G,2G,A,TO,Sh,Sh%,2Pt_Sh,2Pt_Sh%,SOG,SOG%,POSS,POSS%,TCH,PAS,CT,GB,FO_%,FOW,FOL,Sv,Sv_%,SA
Cannons,3,2021,0,17,15,1,8,21,30,53.3,2,50,22,73.3,0,0,0,0,11,33,36.8,14,24,18,50,18
Atlas,3,2021,1,18,18,0,8,18,51,35.3,4,0,36,70.6,0,0,0,0,15,45,63.2,24,14,6,27.3,17
Archers,4,2021,0,7,7,0,5,12,41,17.1,3,0,23,56.1,0,0,0,0,11,23,42.1,8,11,13,61.9,8
Chrome,4,2021,1,8,8,0,3,21,32,25,4,0,21,65.6,0,0,0,0,5,35,57.9,11,8,16,69.6,7
Cannons,4,2021,0,10,8,1,5,12,37,24.3,6,16.7,27,73,0,0,0,0,13,35,33.3,9,18,11,44,14
Chaos,4,2021,1,14,14,0,10,21,38,36.8,6,0,25,65.8,0,0,0,0,5,38,66.7,18,9,18,66.7,10
Chrome,4,2021,0,10,10,0,6,17,36,27.8,5,0,21,58.3,0,0,0,0,13,35,40.7,11,16,8,38.1,16
Atlas,4,2021,1,16,10,3,7,17,35,37.1,7,42.9,21,60,0,0,0,0,12,39,59.3,16,11,11,52.4,10
Redwoods,4,2021,1,19,15,2,12,16,41,41.5,5,40,26,63.4,0,0,0,0,2,41,70.6,24,10,13,46.4,16
Waterdogs,4,2021,0,16,14,1,11,10,49,30.6,5,20,28,57.1,0,0,0,0,9,35,29.4,10,24,9,34.6,19
Whipsnakes,4,2021,1,15,13,1,9,15,53,26.4,7,14.3,29,54.7,0,0,0,0,12,44,71.9,23,9,4,22.2,14
Archers,4,2021,0,14,14,0,8,17,29,48.3,1,0,18,62.1,0,0,0,0,8,33,28.1,9,23,15,51.7,15
Waterdogs,5,2021,1,19,17,1,9,19,50,36,3,33.3,31,62,0,0,0,0,9,43,72.4,21,8,10,58.8,7
Cannons,5,2021,0,7,7,0,4,17,28,25,1,0,17,60.7,0,0,0,0,7,26,27.6,8,21,13,41.9,19
Redwoods,5,2021,1,13,13,0,5,14,44,29.5,3,0,22,50,0,0,0,0,5,34,54.2,13,11,17,70.8,7
Whipsnakes,5,2021,0,7,7,0,4,14,48,14.6,4,0,24,50,0,0,0,0,4,31,45.8,11,13,9,40.9,13
Atlas,5,2021,1,16,14,1,7,16,48,31.3,5,20,33,68.8,0,0,0,0,10,39,67.9,19,9,10,52.6,10
Chaos,5,2021,0,10,8,1,5,18,29,31,5,20,19,65.5,0,0,0,0,8,29,32.1,9,19,18,54.5,16
Cannons,5,2021,1,13,13,0,8,13,42,31,2,0,26,61.9,0,0,0,0,8,34,55.2,16,13,15,55.6,12
Archers,5,2021,0,12,12,0,7,14,44,27.3,4,0,27,61.4,0,0,0,0,8,36,44.8,13,16,13,50,13
Chrome,5,2021,0,6,6,0,2,23,31,19.4,3,0,15,48.4,0,0,0,0,8,28,40.9,9,13,16,57.1,12
Waterdogs,5,2021,1,12,12,0,5,19,48,25,5,0,28,58.3,0,0,0,0,14,40,59.1,13,9,9,60,6
Atlas,6,2021,1,19,15,2,9,14,45,37.8,4,50,32,71.1,0,0,0,0,7,41,80.6,25,6,12,54.5,10
Chrome,6,2021,0,10,10,0,7,11,28,35.7,2,0,22,78.6,0,0,0,0,9,35,19.4,6,25,15,46.9,19
Archers,6,2021,1,15,15,0,8,14,43,34.9,7,0,31,72.1,0,0,0,0,11,37,28.6,8,20,15,62.5,12
Redwoods,6,2021,0,12,6,3,4,23,44,20.5,5,60,24,54.5,0,0,0,0,8,35,71.4,20,8,16,51.6,15
Waterdogs,6,2021,1,11,7,2,7,18,47,19.1,3,66.7,23,48.9,0,0,0,0,8,47,73.7,14,5,19,76,6
Whipsnakes,6,2021,0,6,6,0,2,14,42,14.3,8,0,25,59.5,0,0,0,0,10,38,26.3,5,14,14,60.9,11
Chaos,6,2021,1,14,12,1,7,18,39,33.3,6,16.7,26,66.7,0,0,0,0,10,36,48.1,13,14,20,66.7,12
Chrome,6,2021,0,12,8,2,7,17,50,20,5,40,30,60,0,0,0,0,12,41,51.9,14,13,13,50,14
Atlas,6,2021,1,13,9,2,6,11,50,22,10,20,30,60,0,0,0,0,7,35,77.8,21,6,10,45.5,12
Cannons,6,2021,0,12,12,0,8,12,34,35.3,2,0,22,64.7,0,0,0,0,7,28,22.2,6,21,19,63.3,13
Archers,7,2021,1,15,15,0,7,14,41,36.6,4,0,25,61,0,0,0,0,6,31,43.8,14,18,18,58.1,14
Whipsnakes,7,2021,0,14,12,1,3,17,54,24.1,6,16.7,31,57.4,0,0,0,0,5,43,56.3,18,14,10,40,15
Cannons,7,2021,1,13,11,1,5,17,37,32.4,2,50,26,70.3,0,0,0,0,9,35,38.5,10,16,16,61.5,10
Chrome,7,2021,0,10,10,0,8,17,48,20.8,5,0,26,54.2,0,0,0,0,11,46,61.5,16,10,14,53.8,13
Redwoods,7,2021,0,12,12,0,5,18,29,41.4,3,0,20,69,0,0,0,0,9,34,40,12,18,14,50,14
Whipsnakes,7,2021,1,14,14,0,8,17,45,31.1,2,0,28,62.2,0,0,0,0,6,51,60,18,12,8,40,12
Archers,7,2021,0,9,9,0,6,21,37,24.3,5,0,21,56.8,0,0,0,0,8,33,52.2,12,11,18,64.3,11
Chaos,7,2021,1,11,9,1,6,16,41,24.4,9,11.1,28,68.3,0,0,0,0,6,31,47.8,11,12,12,57.1,9
Atlas,7,2021,0,9,9,0,7,20,42,21.4,9,0,26,61.9,0,0,0,0,13,46,56.5,13,10,10,50,10
Waterdogs,7,2021,1,10,10,0,5,21,31,32.3,3,0,20,64.5,0,0,0,0,12,35,43.5,10,13,17,65.4,9
Chaos,7,2021,0,9,9,0,7,15,43,20.9,1,0,26,60.5,0,0,0,0,13,44,70,14,6,13,61.9,10
Redwoods,7,2021,1,10,6,2,6,17,42,19,6,33.3,21,50,0,0,0,0,10,28,30,6,14,17,65.4,9
Chrome,1,2019,0,12,12,0,7,22,43,27.9,5,0,24,55.8,0,0,0,0,5,38,64.3,18,10,8,40,13
Archers,1,2019,1,13,11,1,8,19,34,35.3,1,100,20,58.8,0,0,0,0,8,27,35.7,10,18,12,50,12
Chaos,1,2019,0,14,12,1,4,16,37,35.1,8,12.5,25,67.6,0,0,0,0,7,34,43.8,14,18,14,48.3,15
Whipsnakes,1,2019,1,15,15,0,7,12,56,26.8,6,0,29,51.8,0,0,0,0,3,35,56.3,18,14,12,48,14
Redwoods,1,2019,1,11,11,0,6,12,57,19.3,2,0,33,57.9,0,0,0,0,8,27,45.8,11,13,17,65.4,9
Atlas,1,2019,0,9,9,0,7,16,42,21.4,6,0,26,61.9,0,0,0,0,7,21,54.2,13,11,22,66.7,11
Whipsnakes,2,2019,1,12,10,1,6,14,47,23.4,7,14.3,27,57.4,0,0,0,0,6,25,40,10,15,16,61.5,11
Chrome,2,2019,0,11,9,1,5,21,43,23.3,5,20,26,60.5,0,0,0,0,5,28,60,15,10,16,59.3,12
Chaos,2,2019,1,18,12,3,8,12,43,34.9,8,37.5,28,65.1,0,0,0,0,6,24,30,9,21,19,61.3,13
Atlas,2,2019,0,13,11,1,7,16,41,29.3,7,14.3,31,75.6,0,0,0,0,5,35,70,21,9,13,46.4,18
Redwoods,2,2019,0,9,9,0,3,15,40,22.5,4,0,26,65,0,0,0,0,8,20,56.5,13,10,14,58.3,10
Archers,2,2019,1,10,10,0,5,16,34,29.4,2,0,23,67.6,0,0,0,0,7,26,43.5,10,13,16,64,9
Chrome,3,2019,0,12,8,2,6,13,42,23.8,9,22.2,27,64.3,0,0,0,0,8,28,34.6,9,17,12,50,13
Atlas,3,2019,1,13,11,1,8,19,34,35.3,1,100,24,70.6,0,0,0,0,4,26,65.4,17,9,17,63,12
Archers,3,2019,0,10,10,0,6,15,46,21.7,4,0,29,63,0,0,0,0,4,30,36.4,8,14,14,60.9,11
Whipsnakes,3,2019,1,11,7,2,6,18,37,24.3,10,20,24,64.9,0,0,0,0,8,31,63.6,14,8,20,66.7,10
Chaos,3,2019,1,12,12,0,8,23,29,41.4,2,0,17,58.6,0,0,0,0,3,23,46.2,12,14,15,60,11
Redwoods,3,2019,0,11,9,1,6,15,47,21.3,6,16.7,26,55.3,0,0,0,0,9,29,53.8,14,12,6,33.3,12
Whipsnakes,4,2019,1,15,9,3,7,10,52,23.1,9,33.3,29,55.8,0,0,0,0,9,25,30.4,7,16,12,57.1,10
Atlas,4,2019,0,10,8,1,5,15,37,24.3,6,16.7,21,56.8,0,0,0,0,2,30,69.6,16,7,17,58.6,15
Chrome,4,2019,0,11,7,2,5,20,39,23.1,6,33.3,22,56.4,0,0,0,0,6,36,46.2,12,14,13,50,13
Redwoods,4,2019,1,13,13,0,8,15,44,29.5,2,0,26,59.1,0,0,0,0,10,35,53.8,14,12,13,59.1,11
Archers,4,2019,0,13,11,1,8,17,46,26.1,6,16.7,33,71.7,0,0,0,0,13,36,46.4,13,15,10,45.5,14
Chaos,4,2019,1,14,10,2,10,25,37,32.4,7,28.6,22,59.5,0,0,0,0,2,28,53.6,15,13,21,63.6,13
Atlas,5,2019,1,13,13,0,7,14,38,34.2,3,0,22,57.9,0,0,0,0,5,25,71.4,20,8,11,50,12
Archers,5,2019,0,12,10,1,8,11,33,33.3,6,16.7,22,66.7,0,0,0,0,8,19,28.6,8,20,9,40.9,13
Chaos,5,2019,1,15,13,1,8,16,44,31.8,4,25,30,68.2,0,0,0,0,6,33,62.5,20,12,14,50,14
Chrome,5,2019,0,14,14,0,5,13,47,29.8,2,0,28,59.6,0,0,0,0,6,34,37.5,12,20,16,53.3,15
Redwoods,5,2019,1,14,14,0,9,11,43,32.6,4,0,27,62.8,0,0,0,0,8,24,22.2,6,21,17,63,11
Whipsnakes,5,2019,0,11,9,1,10,14,50,20,5,20,27,54,0,0,0,0,5,40,77.8,21,6,13,48.1,14
Chrome,6,2019,1,19,19,0,11,13,44,43.2,1,0,37,84.1,0,0,0,0,9,43,52.9,18,16,9,45,11
Chaos,6,2019,0,11,11,0,6,15,38,28.9,2,0,20,52.6,0,0,0,0,8,30,47.1,16,18,18,48.6,19
Archers,6,2019,0,8,8,0,8,22,44,18.2,2,0,22,50,0,0,0,0,9,35,85.7,18,3,12,57.1,9
Redwoods,6,2019,1,9,9,0,5,19,37,24.3,3,0,21,56.8,0,0,0,0,7,24,14.3,3,18,14,63.6,8
Atlas,6,2019,0,9,9,0,3,13,44,20.5,7,0,23,52.3,0,0,0,0,3,24,54.5,12,10,17,60.7,11
Whipsnakes,6,2019,1,11,11,0,3,11,40,27.5,4,0,28,70,0,0,0,0,3,21,45.5,10,12,14,60.9,9
Atlas,7,2019,1,18,12,3,13,12,38,39.5,9,33.3,25,65.8,0,0,0,0,5,25,63.6,21,12,12,44.4,15
Redwoods,7,2019,0,15,15,0,8,10,39,38.5,1,0,27,69.2,0,0,0,0,3,21,36.4,12,21,10,40,18
Chaos,7,2019,1,13,11,1,7,17,39,30.8,6,16.7,30,76.9,0,0,0,0,12,31,46.4,13,15,17,58.6,12
Whipsnakes,7,2019,0,12,12,0,7,13,43,27.9,8,0,29,67.4,0,0,0,0,6,27,53.6,15,13,18,60,13
Archers,7,2019,1,9,5,2,1,12,40,17.5,7,28.6,19,47.5,0,0,0,0,3,25,43.8,7,9,19,73.1,7
Chrome,7,2019,0,7,7,0,4,9,54,13,4,0,26,48.1,0,0,0,0,5,35,56.3,9,7,12,63.2,9
Chrome,8,2019,1,20,16,2,8,17,42,42.9,4,50,24,57.1,0,0,0,0,9,36,58.8,20,14,9,40.9,16
Whipsnakes,8,2019,0,16,10,3,8,14,44,29.5,11,27.3,21,47.7,0,0,0,0,10,33,41.2,14,20,6,25,20
Archers,8,2019,1,15,15,0,9,11,48,31.3,2,0,28,58.3,0,0,0,0,4,26,43.3,13,17,17,60.7,11
Atlas,8,2019,0,11,11,0,7,14,46,23.9,9,0,28,60.9,0,0,0,0,8,39,56.7,17,13,13,46.4,15
Redwoods,8,2019,0,10,10,0,4,18,45,22.2,6,0,23,51.1,0,0,0,0,7,25,27.3,6,16,12,54.5,13
Chaos,8,2019,1,13,7,3,6,21,42,23.8,10,30,21,50,0,0,0,0,6,33,72.7,16,6,12,54.5,10
Chrome,9,2019,0,14,14,0,7,15,32,43.8,3,0,23,71.9,0,0,0,0,4,25,45.5,15,18,12,44.4,17
Atlas,9,2019,1,17,13,2,9,13,43,34.9,6,33.3,27,62.8,0,0,0,0,8,30,54.5,18,15,9,39.1,14
Chaos,9,2019,1,11,11,0,7,17,38,28.9,5,0,22,57.9,0,0,0,0,5,25,36,9,16,15,60,10
Archers,9,2019,0,10,10,0,5,13,54,18.5,9,0,25,46.3,0,0,0,0,5,36,64,16,9,11,50,11
Whipsnakes,9,2019,1,17,15,1,14,14,43,37.2,6,16.7,25,58.1,0,0,0,0,6,29,50,12,12,11,73.3,4
Redwoods,9,2019,0,4,4,0,4,17,37,10.8,3,0,15,40.5,0,0,0,0,6,29,50,12,12,9,36,17
Atlas,10,2019,1,12,12,0,7,17,41,29.3,7,0,25,61,0,0,0,0,5,31,52.2,12,11,18,69.2,9
Chaos,10,2019,0,9,7,1,3,14,41,19.5,7,14.3,26,63.4,0,0,0,0,11,25,47.8,11,12,13,52,12
Redwoods,10,2019,1,18,16,1,10,14,52,32.7,9,11.1,37,71.2,0,0,0,0,8,36,51.9,14,13,9,56.3,7
Chrome,10,2019,0,7,7,0,3,18,30,23.3,7,0,16,53.3,0,0,0,0,8,32,48.1,13,14,20,54.1,18
Whipsnakes,10,2019,0,8,6,1,5,15,48,14.6,3,33.3,18,37.5,0,0,0,0,5,21,55,11,9,14,58.3,11
Archers,10,2019,1,11,9,1,6,15,36,27.8,6,16.7,24,66.7,0,0,0,0,0,28,45,9,11,11,61.1,8
